kind	pascalName	pascalValue	language	mnemonic	context	status	javaAnalog	note
key	kbCtrlRight	$047400			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltRight	$089D00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbUp	$004800			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftUp	$034800			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlUp	$048D00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltUp	$089800			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbDown	$005000			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftDown	$035000			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlDown	$049100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltDown	$08A000			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftLeft	$077300			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftLeft	$0B9B00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftRight	$077400			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftRight	$0B9D00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftUp	$078D00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftUp	$0B9800			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftDown	$079100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftDown	$0BA000			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltLeft	$0C9B00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftLeft	$0F9B00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltRight	$0C9D00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftRight	$0F9D00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltUp	$0C9800			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftUp	$0F9800			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltDown	$0CA000			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftDown	$0FA000			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kb2	$000332			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrl1	$040200			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAlt1	$087800			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrl2	$040300			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAlt2	$087900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrl3	$040400			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAlt3	$087A00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrl4	$040500			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAlt4	$087B00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrl5	$040600			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAlt5	$087C00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrl6	$040700			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAlt6	$087D00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrl7	$040800			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAlt7	$087E00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrl8	$040900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAlt8	$087F00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrl9	$040A00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAlt9	$088000			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrl0	$040B00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAlt0	$088100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlEqual	$040D00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlQ	$041011			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltQ	$081000			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlW	$041117			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltW	$081100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlE	$041205			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltE	$081200			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlR	$041312			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltR	$081300			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlT	$041414			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltT	$081400			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlY	$041519			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltY	$081500			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlU	$041615			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltU	$081600			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlI	$041709			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltI	$081700			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlO	$04180F			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltO	$081800			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
